n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0.00202216,0.000309831,0.001615,0.00179425,0.0019345,0.00216425,0.002803
4,0.00547625,0.000472234,0.004986,0.005119,0.0052645,0.005803,0.006771
8,0.0272946,0.00316247,0.025239,0.0258255,0.0267215,0.0272767,0.04341
16,0.192208,0.0181931,0.170547,0.178013,0.188288,0.198787,0.235067
32,1.38119,0.0604717,1.30885,1.33446,1.36575,1.42012,1.54018
64,10.8821,0.339587,10.3176,10.6799,10.8276,11.0393,12.0556
