n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
32,1.38283,0.0663348,1.29432,1.33147,1.37172,1.41217,1.55334
64,10.5655,0.183822,10.1876,10.4778,10.5511,10.6311,11.1171
128,79.2921,1.66968,76.5967,78.2561,79.0973,79.7546,83.8715
256,635.202,30.6172,615.683,618.838,624.541,636.747,765.91
512,5601.33,315.726,5002.57,5496.74,5585.95,5640.37,6600.6
1024,47055.2,3279.38,41295.9,45929.7,46652,48415.9,53647.1
